"SP2_ball_received_T","dv1_OE_game_satisfaction","dv1_oe_playtime_satisfaction","dv1_oe_earnings_satisfaction","dv1_oe_treasurer_behavior","dv1_oe_sp2_behavior","dv1_oe_message_to_treasurer","exp_condition"
"12","I found it a bit frustrating as the treasurer kept passing it to the other player which meant I didn't get many points at all. It felt like the treasurer was favouriting the other player more by throwing the ball to them more often than throwing to me which was annoying.","No I felt that I didn't get a fair chance at playing as the treasurer just kept throwing to the other player which meant I didn't get a chance to get many points. The other player received the ball lots more times than me which meant they were able to receive more points.","Not really as I didn't make very much at all. The ball was only thrown to me twice which meant I could only throw it back to the treasurer and receive some money on two occasions whereas the other play received it many more times than I did. I didn't make much money.","I didn't like how they behaved. It felt like the other player was being treated as the favourite and I wasn't being treated fairly. The other player received the ball lots more times than I did and therefore they were able to get more points and make more money than me.","I feel quite neutral about player 2 as they weren't able to throw the ball to me anyway. I felt annoyed that they kept getting the ball and therefore getting points but this wasn't their fault, it was the treasurer's fault. I didn't feel annoyed with player 2 as it wasn't their choice.","I would say that it made me annoyed and I felt that the game wasn't being played fairly. Player 2 received the ball many more times than me which meant they were able to make more money than me. The treasurer should have played more fairly, allowing us both to get the ball the same number of times.",2
"11","No. The ball was passed to me fewer times than to the other player, which limited my involvement. Because of that, I had fewer chances to participate and influence the outcome. The uneven distribution made the experience feel unbalanced and reduced my overall engagement with the task. If the ball had been passed to me more I would be satisfied","No. My opportunities to receive and pass the ball were limited compared to the other participant. This reduced my ability to take part in the activity in a meaningful way. I would have preferred a more equal number of turns so that participation felt more evenly distributed. I would have liked to play longer","No. My total earnings were lower than the other participant’s, which reflected the limited number of opportunities I had during the game. Since earnings were tied to participation, the imbalance in ball distribution directly influenced the final outcome and reduced my potential gain. I feel like the game should of been longer","The Treasurer appeared to direct the ball more often to the other participant. This created an uneven pattern of interaction that shaped the overall flow of the game. I would have preferred a more balanced approach, where passes were distributed more equally among both players. They should have given me the ball more","SP2’s behavior seemed consistent with the structure of the game. They responded when they received the ball and continued the sequence of passes. Since the Treasurer appeared to control much of the distribution, SP2’s actions did not stand out as unusual or unexpected. They had no say in the game","I would ask why the passes were directed more frequently to the other participant and whether there was a specific reason for that choice. I would also mention that a more balanced distribution could have created a more equal experience for everyone involved. I tell them to be fairer in future",2
"12","The Treasurer did not throw me the ball nearly as many times as they threw it to the second player. It would've been more satisfying if we had received the ball an equal number of times. I slightly regret my choice to always throw the ball back to the Treasurer, because maybe if I had thrown it to the second player they would have engaged with me by throwing me the ball as well.","I am not satisified with how much I got to play, because the second player got to play 3x as much as I did. It would have been more enjoyable and satisfying to be more engaged in the game, with equal partcipation and receiving of the ball. It was still an interesting game.","I am okay with the amount of money I made; I would say that I am reasonably satisfied because it was still interesting to engage with the game even though SP2 made quite a bit more additional money than I did. The fact that he made more money did not decrease my satisfacation overall.","It appears that the treasurer favoured throwing the ball to SP2, which was somewhat confusing and perplexing to try and understand his motives for choosing to go back and forth with SP2 rather than spend more time throwing me the ball as well. I don't know that I would say I disliked it, but it would've been nice to engage more with the game.","I don't see anything wrong at all with SP2's behavior, because they were playing the game by the rules and incentives that were outlined. I was playing the game the exact same way by throwing the ball consistently to the treasurer to increase my monetary incentive, so I can't fault him for doing the same.","I guess I would inquire about their motivation for throwing the ball back and forth to SP2, and rarely including me in the game. I was moreso confused and inquisitive than bothered by it, so I don't think I would have much to express as far as how it affected me.",3
"12","it was unfair. the treasure mostly threw the ball to sp2. i had to wait for a long time before he gave me the ball. i was not satisfied with what how the game went for me..i was clearly cheated. so final answer is, i was not satisfied. thats it ","it was unfair. the treasure mostly threw the ball to sp2. i had to wait for a long time before he gave me the ball. i was not satisfied with what how the game went for me..i was clearly cheated. so final answer is, i was not satisfied. thats it ","it was unfair. the treasure mostly threw the ball to sp2. i had to wait for a long time before he gave me the ball. i was not satisfied with what how the game went for me..i was clearly cheated. so final answer is, i was not satisfied. because of this, i didnt make much money","he was unfair. the treasure mostly threw the ball to sp2. i had to wait for a long time before he gave me the ball. i was not satisfied with what how the game went for me..i was clearly cheated. so final answer is, i was not satisfied. i thought he would go one by one.","i don't think i have an issue with sp2...he was only favored and he was not going to throw it to me for 0 points. it was not his fault. it was all the treasure's fault. but sp2 could have tossed some balls to me so i could toss it to the treasure to ern some points.","it was unfair. the treasure mostly threw the ball to sp2. i had to wait for a long time before he gave me the ball. i was not satisfied with what how the game went for me..i was clearly cheated. so final answer is, i was not satisfied. thats it ",3
"8","Kind of. Although it was good to get a bonus, the treasurer could've passed the ball to me more often so that I could've at least been equal with SP2. I think that the treasurer was biased and programmed to act in that way. But a bonus is a bonus.","Kind of. On one of the trials where SP2 passed the ball to me and I passed it to the treasurer, I threw it back at them on the trial after. I felt it was only fair. But again, a bonus is a bonus so i cannot complain too much ","I mean, it's better than nothing extra. I was happy to take the study at the listed price of four dollars, so it's thirty five cents more than that, which is good. I would've preferred the game went on longer so that I could've got more but again, it's okay.","I think that they were slightly biased towards the other player. I think they could've been fairer by passing it an equal number of times or changed the bias to be in my favour. But as previously mentioned, a small bonus is better than no bonus so I can't complain. ","I thought that SP2 was extremely fair for passing the ball to me on two occasions. I think that this shows that SP2 recognised the bias and tried to rectify it. Which means that SP2 at least was more honourable than the treasurer, and this is why I didn't reduce their earnings, ","It didn't affect me that much. But I would ask the treasurer why he showed bias to the other player, even though it's an anonymous game. I would want to know the reasons for him not being biased towards me. I would also let him know that if I were treasurer, I wouldn't be biased. ",4
"8","it taught equality and how you can be ignored inorder for someone to earn up their points or cash. Also how selfish you can get in oder for the other people to lose their money for you to gain. Playing made me realise what it takes to gain in this game.","Not that much, the treasurer  gave more pass to the second player compared to the pass I received. So my only option was to send it back and not have a chance to pass it to the second player in order not to have low or less scores in the game.","I am satisfied because it was not my choice of our many passes I was going to receive. It was upto the treasurer on the passes I was to receive . My job was just to return it back or pass it back so that I can receive points and win.","The treasure in the game tried being equal though I felt he was not equal The treasure passed the ball many times to the second player compared to the passes I received so it limited me to what the points I get throughout the game it all depended on the treasurer.","The SP2 player had no choice too on how to play. It all depends on the treasurer when the ball is passed through to either me or the SP2. So the behavior was not bad the player was such looking for points to emerge the winner so I never dislike it.","Kindly next time just be equal with your pass so it can be our choice to pass it back or pass it to the other player so that we can have an equal chance to have the points rather than having the passes and making it hard to pass the ball",1
"3","I had no reason to not feel satisfied and the ball was passed a few times which felt adequate to me. I felt included and do don't feel like I was on the side lines. The more we passes the ball the more money we get which was all good with me. ","Yes I'm satisfied with how much I played, I mean I could of been passed to a little more and it annoyed me to the point where I delayed my passing sometimes as I thought it was slightly unfair but it didn't change any thing so I continued to do the same.","It was an average amount of money so yes it was satisfactory but I can't help thinking that if I was passed too a bit more and that would make me feel more equal to the rest of the team instead of feeling slightly left out andjudged to a certain degree ","I think they passed to player 1 more but that didn't bother me to much untill I thought of the fact that it means I'll have less money then I got annoyed and delayed my throwing because I wanted them to feel the same or only get the amount of money as that would be fair. ","No player 2 was ok amd passed a few times not as many ad i thought they would but that's ok. But as time went on I realised they weren't throwing to me alot at all amd then I started to not throw to them and through to the treasurer ","I'd say next time make it a fairer and pass to me more times. It made me feel excluded and like I wasn't wanted in the game. I felt ganged up on and that for some reason I wasn't good enough to be passed too and that made me feel inadequate ",1
"12","No. I was not satisfied with the game went for me at all. The ball was unevenly distributed and that felt unfair. It created resentment towards the second player when really the power laid with the treasurer which made it feel like we were playing a zero sum game when it did not have to be.","Not at all. the amount of time I got to play was significantly less that what i anticipated i would be able to. It was isolating to not be able to participate as much as the other player which was unfortunate to say the least. However it could have been worse.","Not at all. However the money i was able to make was tied to how much i was able to play and since the opportunities i got were limited and less then the other player I did not have the opportunity to make more. but the money that i made was made with all the opportunities i was allotted. ","The behavior of the Treasurer was questionable to say the least. There was no benefit to them at all to not spread the opportunities evenly at all and yet they did. Which was questionable to say the least as to why they chose to not be equitable when there was no benefit.","SP2 played the game the same way i would have had I been allotted the same amount of chances to make the money that they were able to make given the opportunities they got. So even though they could have been magnanimous and shared the opportunities they acted in their self interest which is to be expected. ","Why did you choose to unevenly distribute the opportunities the way you did? Was there an experiment you were conducting? if so what was it and what did you hope to gain from it? And did you think what you did would affect the other player and if you did why did you do it any way?",3
"9","Yes, I was hoping our scores would be relatively similar, and they were. It was fair and I was satisfied with the amount of times I received the ball from the treasurer. I was surprised that SP2 passed to me at all, I was fully expecting to not receivee it. ","No. I wanted to pass the ball more. It felt like they were passing between themselves for a bit. So when I received it from the treasurer, I passed it to SP2 to see what would happen. That is when I finally received it from SP2, and felt more satisfied.","Yes. I was not expecting to make more than 10 cents, so the amount I got exceeded my expectations. I did not expect much from this, whether it be monetarily or something else. The money did not matter that much, I just wanted to have fun and see if it would be reciprocated.","It felt like the treasurer and SP2 were playing catch with one another. I did not like it and it was annoying. I wish that we had just gone in a triangle, I feel like most people would have done that, so it felt like SP2 and the treasurer were not real people/","I did not really care. I explained in the previous question my feelings about SP2 and the treasurer. The behavior seemed so abnormal that I am questioning if these are real people. It felt cruel and unfair in a way, but I tried not to let it affect me since it was a game.","I would tell them I was confused why he kept passing the ball back to SP2 a few times in a row. We got a similar amount of money but the money didn't matter, I was getting aggravated. Why could you not just pass it equally between us? Instead of what you did.",4
"10","it was an easy game. infact i id not even looked at SP2 rather i was just focusing on treasurer where i can earn some money. SP2 given me 2 time the ball where i felt like the treasurer progrmmed to give the ball to SP2 . But Sp2 passed the ball 2 times which i again directed towards the tresurer.","There was no equality in the ball serving. the tresurer holds the ball initially and he used to serve the ball everytimne to SP2 which i felt unacceptlbale and injustice. Then i counted total minus 2 balls i got and i got that aimed at treasure whcih made the equal points. So with that point i did not tried to give any earned points to SP2 later.","I think i used all the chances given to me to aim and throw at the treasurer. So i am not all thinking how much the other person got Sp2 it is all about using all the chances i got and make sure throwing at tresurer. i used it. Only i was looking if the treasurer changing his position.","From the first ball i thought the next spell the treasure going to throw the ball to me. Then i felt first certain spell he will be throwing the ball to SP2 and then he will start throwing the same spell for me. So there will not be any inequality. But later i come to understand theere are inequality and but some how i got equal points i compared it with Sp2. ","I guess SP2 was noticing how the game is controlled. understanding the inequalities he threw 2 extra balls to me, which i were able to pass to the treasure which given me fair chances for all. tresurer was behaving like one sided man, reducing my earning with 2 balls less.","I would have asked the tresurer he should use his both eyes so that he can able to see both parties standing on either side. I will tell him, this is a game and there is no partiality or ableness that you can throw the ball only in one side, otherwise we should be change the rule or rotate the people in order for a fair game.",4
"12","I am not satisfied with the fact tthe game was so lopsided. I would have liked the treasurer to send the ball to each of us more evently. The other player got it 12 times while I only received it 4 which does not feel fair at all. I didn't want to give up any of my bonus though","I would have liked it to be more evenly matched. i would have liked the treasurer to send the ball to me more. The fact that the other player got it 12 times and I was just watching made the game a lot less fun for me and i was disappointed.","I am satisfied with how much money I made. I am appreciative I received an extra 20 cents. I would have liked it to be more fair but I'm never going to be upset about any bonus at all, regardless of how much another participant receives. i don't want to take anything away from the other participant","I did not like how the treasurer behaved. I felt as if the treasurer priortized player 2. I am not sure why the treasurer prioritized the other player but it disappointed me and i would have liked the treasurer to make things more even between the 2 of us. The fact the other player got it 8 more times than I did felt really lopsided","The other player, player SP2, behaved in a perfectly logical manor. i understand there is no reason the other player would send the ball to me as the other player is only paid when sending it to the treasurer. I am not going to blame the other person at all for making the most logical decision","I would want to know why the treasurer decided for things to be so lopsided. Was there anything I could have done to get the ball passed to me more instead of 1/3 of the time the other player, player SP 2 received the ball. I would just want to understand",3
"12","I was fine with it, although it became apparent the treasurer preferred the other player. At first it was more enjoyable however as time went on and I could see that the treasurer was passing to just one side it became a little annoying, until I was able to reduce there amount.","I would have preferred a little more, but I didn't take it too seriously. In terms of satisfaction though, I would say I had a small amount of satisfaction during the game and a larger amount after the game was done. Watching two players pass between each other isn't very fun.","As the stakes were not high I am fine with it, although its seems less of a chance game and more a preference game. As there didn't seem to be all that many rules set out or ethics etc. I didn't really know what to expect from the game I played.","I had no expectations but it became obvious they preferred one side to the other. Did not need to be equal but some more balance would have been nicer. Even if it was from player two passing it to me in between then that would have been a better outcome.","As another player who was gaining a benefit from each return to the treasurer I understand, especially when its with strangers. I would have probably behaved in a similar way. I didn't really know what to expect form it until it then became more predictable about what they were going to do.","I would have preferred to have more participation in the game, especially as you had a position of delegation. I was fine with it ultimately but it would have been nicer to have some more equalness within the game, even if it was just a little more equal than totally.",3
"12","no because i had no control over how many times i received or threw the ball. And SP2 received the ball 8 more times than i did so the game was unfair. If i had received the ball more i also would have had higher scores and so the whole thing was unfair","No, SP2 had an unfair advantage. I only received the ball 4 times as the treasurer kept tossing the ball to SP2 and so i was left standing there whilst the ball went back and forth between the treasurer and sp2, i had no chance of winning whilst that was going on","Not really because i had no control or capability of earning any more. Seemed very unfair that i had absolutely no control over how many times i received the ball and therefore how much money i had the possibility of earning so how could i be satisfied with that scenario","No, the treasurer tossed the ball to SP2 8 more times than to me so there was preferential treatment. I would have expected to receive the ball an equal amount of times to SP2 to make it a fair game. The treasurer should have realised that he was leaving me standing there waiting whilst he served sp2","SP2 probably had no more control of the game than i did, so it was not their fault that they earned more than me. I would have done the same in their place. No blame can be put on sp2 therefore for the fact that they earned so much more","I would say, you should have tossed the ball to myself and SP2 equally and not prioritised SP2. Its very frustrating that they played the game so unfairly and makes me wonder why this happened, perhaps sp2 bribed the treasurer to get more tosses of the ball in which case it was very unfair",2
"12","I think so as it was up to the treasure on how many balls I got, but felt unfair I got so less and the other player was liked more and got more balls and point even if it felt out of both our control and the sp2 played well.","wish I'd got more balls as I didn't really feel like I played the game as much as ps2 and was a bit bord  waiting to play but not getting the ball or seeing my points grow much and seeing ps2 points growing faster as they got to play the game.","no as I felt I could have made more if given better chance and got to play the game more like ps2 but it was out of my hands because the treasure decided who to throw the ball to most rounds. i don't think the other player couldn't of changed that either","I think he liked the other player more and gave the other player unfair advantage by not sharing the ball more with both of us. It felt like he forgot I was there and was just playing with ps2 and helping that person build points and enjoying the game that way.","I think sp2 got lucky to get so many balls. And did what any player would enjoyed seeing the points build and felt good as they were playing well. they could have tried to make it more fair but then if i couldn't its unlikely they could so well done.","I'd say could have made it more fair on both player. A leader should give everyone a fair chance and not having a fair chance felt wrong and a bit unfair also lonely as i wanted to play like ps2 and build points I think it could be made more even. ",3
"8","I am satisfied with how the game went because the rules were clear and I was able to make choices that matched the goal of earning points. The consistent structure and visible scoreboard made it easy to monitor my actions and outcomes.My behavior aligned with the goal of maximszing my points","I am satisfied with how much I got to play because I had enough turns to understand the game and follow the rules. I was able to pass the ball multiple times, see how points were earned, and stay involved throughout the task without long waiting periods between turns.I am satisfied with how much I got to play because","I am satisfied with how much money I made because the points I earned clearly converted into a monetary amount. Each time I followed the rules and tossed the ball to the Treasurer, I could see my total increase. The connection between actions and earnings made it easy to track progress and understand my results.","The Treasurer followed the rules consistently and caught the ball each time it was tossed to them. Their behaviour met expectations because they always allowed points to be earned when appropriate, making the game predictable and fair. I do not see any major changes needed, but it could have been interesting if the Treasurer had varied their timing or approach slightly.","SP2 followed the rules and tossed the ball to the Treasurer when it was their turn. Their behavior met expectations because they participated regularly and contributed to the flow of the game. I noticed their actions were predictable, which made it easier to plan my own moves. It might have been different if they had varied their passes more strategically.","I would tell the Treasurer that their consistent catching and returning of the ball made it clear how points could be earned. Their predictable behavior allowed me to focus on planning my own moves and understanding the game mechanics. I was able to track my progress and make decisions confidently because of the way they played.",1
"8","I am satisfied because the game was fair. we both got equal chances to earn points. The treasurer made sure that there was no side that was favored in expense of the other side. The game was also very easy to play and the rules were in a way that it is easy to understand them.","I am not satisfied the the amount of time I got to play. I feel that I could have earned more if I was given much time to play. Generally, the game was fun and easy to play and understand the rules of the game. I also l1ove the bonusses available for the game","I am satisfied with the amount of money I made in that game. According to the task and the amount of bonusses earned, I feel that my time is well accounted for. The game had simple rules, it was easy to play and the points were issued in a fair way thus am satisfied with what I earned.","The treasurer behave in a moral and professional manner giving both players equal chances to earn bonuses. Treasurer made sure every person got what they deserved in that game. This treasure met my expectations and made the game look professional. I would have wished to be given extra throws but that can unfair to the other party ","SP2 behavior was consistent with what I expected from them. they behaved professionally and mostly focused on improving their chances to get more points so they passed ball to the treasurer only. I do not have anything to complain about them because they did what was the best choice available at the time. 
","I would congratulate the treasurer for showing a great quality of skills that helped them to control the game easily and make the play fair. I got the same amount with the sp2, even though I like the way the treasurer made the decisions, I still wanted to be in front of sp2",1
"12","The ball was passed between SP2 and the treasurer 66% of the game. It didn't feel fair; more like when  a parent says ""play with your sibling"" when your friend is over. I felt involved but only in a bare bones way. There was no jeopardy, just bias. Obviously I would have liked to have won, as is instinct - who plays to lose?! But it was okay.","I would have liked to have had more of a go or a chance. As addressed earlier, I felt invited to somebody else's game. It wasn't good for morale! The last half of the game really did feel like I didn't have to be there - I could have gone to the toilet or got a drink!","Making any money was a bonus, but felt it would be more fair for both players to earn the same amount, regardless of how much I lost. At the beginning of the game, the idea of making a bit of money seemed appealing, but as the balls came less and less to me, I realised it didn't matter so much.","Not sure. Didn't expect the treasurer to be fair as that's not the game. But especially in the last half where 6 in a row went to SP2, it felt a bit like I was forgotten. I didn't particularly like it but you can't change people. The treasurer was obviously instructed to throw to who they want, and that just happened to be not me. Like not being passed the ball in sport.","SP2 didn't really affect the outcome of the game; it was all the treasurer so I didn't consider them - they were just passing the ball like I was. To be honest, it felt a little like they were greedily buddying up to the treasurer in my moment of ""it's not fair"" spite but the game was the game!","If I did, it would just feel like a mother telling her children to play nicely. It was what it was. It would be great if it seemed a bit fairer but ultimately it is what it is. When it was turn taking at the beginning it was boring, but then it became one to you, two to them, and eventually ""all the rest to them"", it didn't feel fun any more. The treasurer made the game un-fun!",2
"12","No I wasn't satisfied because I found it unfair that the treasurer threw the ball more to sp2 than me. I wasn't satisfied with sp2 because they could have thrown the ball to me and made it more fair with the earnings. So overall I wasn't satisfied due unequalness of earnings.","No I wasn't satisfied with how much I got to play. This is because the treasurer threw the ball more to SP2 than to me. I also wasn't satisfied because SP2 always threw the ball towards the treasurer and never towards me. So I didn't feel I got much time to play.  ","No I was not satisfied with how much money I made. This is because in I only earnt 0.20 whilst SP2 earnt 0.60. So I find this quite unfair since we didn't get equal earnings. I'm unsatisfied because the earnings weren't equal. So, I'm unsatisfied because I found it unfair how SP2 made.","I do not like the treasurer in the game. This is because they threw the ball more towards SP2 than to me. So, they didn't meet my expectations. What I wish they did was to threw the ball equally to me and to SP2 and not favour one player over the other.","I did not like the SP2 due the behaviour in the game. Throught they may of been given the ball more times by the treasurer they could of made it fair by throwing the ball towards me to make it more fair. Instead they only threw the ball to the treasurer.","I would say that they should threw the ball equally and ask how would they feel if they weren't hardly given the ball. So I would try to get them think how they would feel in my shoes. I would also say that their actions hurt my feelings due to their unfairness. ",3
"8","The interaction between the participants followed the guidelines where points were generated by passing to the Treasurer. My strategy focused on the specific goal of increasing the scoreboard total, which required evaluating the frequency of ball tosses. I monitored the movement of the ball between Standard player 2 and the Treasurer to determine the most effective actions.","Yes, I am satisfied. The other players included me regularly throughout the game, and I felt I had an equal number of turns to participate.All the while I was monitoring the ball for the Treasurer to the other player I felt I was given enough chances to throw the ball. ","Yes. I am satisfied with the payment. It seems like a fair amount for the length of the study and the effort required to complete the task. Just as the other player, we both had enough chances to make the same amount of money since we had ties in throwing the ball.","I liked how the treasurer behaved. They played fairly and consistently threw the ball to me and the other player. This met my expectations of a cooperative game, and I wouldn't change anything about their behaviour. We were given equal chances with the ball by the tresurer to throw at him. ","SP2 behaved well and played the game as expected. He also threw the ball at the treasurer as much as I threw . They seemed to be playing fairly by passing the ball to everyone. I am satisfied with their perfomance and don't have any issues or suggestions for changes.","I liked their behaviour. They played very well and fairly.He made sure to include everyone in the game. This met my expectations of a cooperative social task, and I wouldn't change anything about how they played since everyting was fair on both of us and the other player as well.",1
"12","No, the other player went back and forth with the treasurer so I didn't have a chance to throw the ball or make any points. I would have expected them to give me the ball after so many passes but they did not. I would have liked to play and would have given the ball if I was in the opposite situation. ","I am not satisfied with the amount that I got to play. I had the ball four times and the other player had it for 12. I got a for a third of what the other player got to play & the treasurer clearly got the ball the most and made the decisions. ","Not satisfied, I did not get the ball as much and therefore did not have the opportutnity to throw the ball to the treasurer to make the money. I made a small amount in comparison to the other player. The extra money was a small amount but it was still money. ","I dislike how the treasurer continously gave the ball to player two. I would have expected them to toss it back and forth between the two of us. If I had it my way I would have only played with the treasurer as it would have given me the most points.","I dislike that the player only threw the ball back and forth to the treasurer. I would have expected them to throw it to me eventually after so many passes but they did not. However, it is not super surprsining that the other individual was greedy and kept the ball between themselves and the treasurer. ","I would state that they did not share the ball and that in turn I was unable to score as many points as the other player. The points equated to a bonus and therefore I did not make as much money as the other player. I would have expected a different outcome.",3
"8","I thought the game went ok. The treasurer threw the ball to the other player more often, but the other player then threw it to me which allowed me to gain back points. I never threw it to the other player because they were ahead of me in points for most of the game.","I got to play a reasonable amount. I noticed the treasurer threw it to the other player a bit more often but everything averaged itself out by the end of the game which made it worth it. I worried that at some point I wouldn't get thrown to anymore but I did.","Yes, I made a reasonable amount of money for the task. Obviously I wouldn't turn down more so if you feel the need to send me a large bonus I wouldn't hate that either. I'm a poor girl out here trying to make a nickel on these surveys and can always use more money.","Overall, it met my expectations. I know the treasurer threw me the ball less and I didn't care for that. I think the treasurer should have been forced to take turns on who they were throwing it to. I think that would have been a more fair system to use.","I felt like they were getting the ball thrown to them more often. However, they did choose to throw it to me a couple times which they didn't have to do. They could have shut me out entirely. I appreciate that they gave me chances to play and get more points.","""You could have thrown it to me a few more times but overall it was ok. I am pleased overall with the turnout of the game. Maybe next time just take turns throwing it to one player and then the other. I think that would make everyone more more happy.""",4
"7","I am satisfied with how the game went because the rules were clearly explained and easy to follow throughout the activity. The objective of earning points by tossing the ball to the Treasurer was straightforward, allowing me to focus on that goal consistently. The scoring system matched the instructions provided beforehand, so there was no confusion about how points were awarded. My role as SP1 was well-defined, and I understood exactly what actions would generate earnings. The game proceeded exactly as described in the setup, which made the experience predictable and free of uncertainty. Because the mechanics worked as expected, the activity met my initial understanding of how it would operate.
","I am satisfied with how much I got to play because the game structure provided equal opportunities for both standard players to participate. The turns to toss the ball were distributed in a consistent pattern, allowing me to engage with the activity regularly. The rules did not limit my involvement beyond what was described, so I was able to perform my role as SP1 throughout the session. The frequency of tosses felt balanced relative to the overall flow of the game. Since the experience aligned with the setup described beforehand, my level of participation met what I anticipated from the instructions.","I am satisfied with how much money I made because the earnings matched the points I earned through gameplay. The conversion rate was clearly stated, and my total reflected my participation. Since the process followed the described rules and the outcome aligned with what I expected based on my performance.","By accepting tosses as the point-earning target, the Treasurer acted in the expected manner. They didn't have to make any active decisions because their role was neutral and functional. Since the game's structure was centered on regular players accumulating points and this fulfilled my expectations. I wouldn't alter their conduct.","SP2 consistently threw to the Treasurer, as was expected. Their behavior reflected my own involvement and was in line with the game's goal. I was satisfied because the guidelines were unambiguous. I wouldn't alter their conduct hance easy to follow the instruction, making it reasoning friendly well elaborated for understanding.","The Treasurer's role was unambiguous and consistent, in my opinion. They made the scoring system work as intended by getting tosses. Their involvement fulfilled my expectations and made it clear to me that I could concentrate on accumulating points. Because they held their position the entire time, the game went smoothly.",1
"12","I am bummed the treasurer didnt pass me the ball more times. The other 2 player got the ball passed 3x more than I. I think that the treasurer was biased and should have passed to me. I don't care that player 2 didnt pass to me because I didnt pass to them.","Not really. I would want to play more. i wouldve wanted the treasurer to pass the ball back to me more. I didnt get the ball very much. The player 2 got the ball over twice as much as I did. I don't really mind that player 2 didnt pass to me thought.","I am fine with it. I guess it is better than nothing. I wasn't going to take any of the money away from player 2 because it wasnt their fault that the treasurer didnt pass to me. I didnt care player 2 didnt pass to me because they wouldn't have gotten any points anyway.","I think the treasurer was biased. They did not pass to me very much. I mean at least i got it some amount of times, but they mostly passed to the 2nd player. I would have wanted them to pass to me more. I think it did not meet my expectations.","I am mostly indifferent about how player 2 acted. I do not care really that they did not pass to me. I think that they were out for their own interests trying to get a  higher score by just passing to the treasurer. I mostly wish the treasurer passed to me more.","I would say that they could have passed to me more often. I would ask why they favored player 2 over me. I would want to know what was on their mind and how now my score would be lower than player 2. I would wonder why and if it was because i didnt pass to player 2 at all.",3
"9","I was not satisfied with the way the game went, I was not given the opportunity to throw the ball the the referee to get points and he kept throwing the ball at the other player and the other player could have thrown it to me to help me get points but did not","i was not ok with how much i got to play because I was not given the ball very much so i could not earn many points, the other player kept getting the ball and throwing it back to the referee and they just kept tossing it back and forth","I could have made more money or we cpould have at least made an even amount of money if the other player would have thrown the ball to me a few times that would have allowed me to get some of the points also and made the amount we earned even","the treasurer could have just went back and forth and made it even between the other player and myself and it would have felt more fair but instead he just kept throwing the ball at the other player and they just tossed it back and forth between the two of them","player 2 could have taken the opportunity to throw the ball at me every other time that the treaesurer threw the ball to him and that way we both could have earned the same amount in our bonus and i did have the opportunity to take some of his money away but I dont feel right doing that","I would tell them that they could have played more fair and made it so that it was even among all of the players and not just the one player and that it seemed very childish to just keep throwing the ball to player 2 and not allowing myself to get the points to get the same bonus as player 2",3
"11","Yes.  I am satisfied because we both got the same amount of money. The game seemed to be fair for both players.  It was a nice experience to be involved in this game.  It was simple yet fun.  I think both players came out happy with the results of the game.","Yes.  It seemed very fair for both of us.  Both players got to play as much as possible.  It was a little lopsided towards player SP2 in that they seemed to get the ball from the Treasurer more than I did.  At the end it all worked out for both of us.","Yes. It was a nice amount of money.  I am very satisfied with the money.  When I had a chance to take away money from player SP2 I chose not to do it.  I wanted us both to have the same amount of money at the end of the game.","The treasurer seemed to through the ball to SP2 more.  It was only because SP2 thew the ball to me that I made more money.  I don't think the treasurer was being fair to me.  They threw the ball to my competitor more often than they threw it to me.","SP2 was nice enough to throw the ball to me a few times.  That way we both got the same amount of money. Player SP2 was a great sport.  They seemed to want to make sure that both of us got the ball the same amount of times.  It was nice to feel that things were fair.","You seemed to favour player SP2 more than me.  I don't think you were fair in your decisions on who to throw the ball to.  I don't know if you were biased towards player SP2 but that is the way it felt to me.  You were not a good sport.",4
"8","It went fine.  I have no complaints.  I chose not to decrease SP2's earnings because I do not think that was fair for me to do.  They played the same as me and deserved the same as me.  I enjoyed it and would like to play again and have the chance to earn more of a bonus.","Yes, I am satisfied with how much I got to play.  I would have liked to play more to earn more bonus but in the end the game was fair so I can satisfied with the results. I enjoyed it and would like to play again and have the chance to earn more of a bonus.","Yes I am satisfied with how much money I made.  I would have liked to make more but in the end, it was a fair game and I am happy with what I received. I enjoyed it and would like to play again and have the chance to earn more of a bonus.","I liked it just fine.  The treasurer gave us both the same number of balls so it was all-in-all a fair game for both players.  I think the treasurer tried deliberately to make it fair and he did a good job at that.  I am very satisfied with the results.","Their behavior was fine as far as I can tell.  The treasurer made the game fair so we both earned the same amount so I have no issues with SP2.  SP2 did not throw me any balls so I did not throw any balls back.  They were a good match to play with.","I think the treasurer did a great job in making sure both of us had the same amount of balls and the game ended up being fair. I enjoyed it and would like to play again and have the chance to earn more of a bonus, especially with that particular treasurer.",1
